time	temp
173.648	22.1319
174.648	22.7554
175.675	23.421
175.93	23.5864
176.565	24.0045
176.827	24.1772
176.958	24.2635
177.351	24.5217
177.547	24.65
177.809	24.8208
178.464	25.2427
179.464	25.8647
179.576	25.9344
179.969	26.1689
180.944	26.7215
181.472	27.0003
181.683	27.1072
182.422	27.4589
182.528	27.5062
183.267	27.813
183.583	27.9309
184.1	28.1051
184.3	28.1661
184.5	28.2232
184.7	28.2765
184.8	28.3017
185	28.349
185.3	28.4123
185.483	28.4462
185.6	28.466
185.75	28.4891
185.86	28.5045
185.98	28.5197
186.1	28.5333
186.25	28.5479
186.4	28.5597
186.539	28.5673
186.7	28.5711
186.85	28.5687
187	28.5594
187.15	28.5422
187.278	28.5206
187.4	28.4933
187.55	28.45
187.7	28.3951
187.8	28.3514
187.911	28.2959
188.017	28.2356
188.122	28.1686
188.25	28.0764
188.4	27.953
188.544	27.818
188.7	27.6541
188.967	27.3354
189.08	27.1876
189.389	26.7509
189.5	26.584
189.65	26.3519
189.752	26.1903
189.98	25.8206
190.1	25.6227
190.284	25.317
190.4	25.1238
190.55	24.8748
190.75	24.5466
190.892	24.3178
191.044	24.0785
191.25	23.766
191.424	23.5151
191.576	23.3075
191.728	23.1125
191.956	22.8462
192.1	22.6946
192.336	22.4728
192.6	22.2621
192.716	22.1814
192.868	22.0862
193.096	21.9649
193.3	21.8769
193.476	21.8159
193.628	21.7737
193.78	21.7407
193.932	21.7164
194.16	21.6954
194.312	21.6911
194.464	21.6939
194.616	21.7034
194.768	21.7192
194.996	21.7535
195.3	21.8169
195.447	21.8537
195.593	21.8938
195.74	21.9372
195.887	21.9833
196.033	22.0313
196.253	22.107
196.547	22.2122
196.693	22.2652
196.84	22.3186
196.987	22.3715
197.133	22.4234
197.353	22.4999
197.573	22.5747
197.72	22.6236
198.087	22.7425
198.307	22.8116
198.527	22.8791
198.673	22.9229
199.04	23.0303
199.26	23.0928
199.407	23.1337
199.553	23.1738
199.773	23.233
199.993	23.2909
200.14	23.3289
