Taxon_name	Status	MinAge	MaxAge	Site
Metengonoceras	extinct	89.8	93.9	1987
Metoicoceras	extinct	89.8	93.9	1989
Metoicoceras	extinct	89.8	93.9	1990
Metengonoceras	extinct	89.8	93.9	1990
Engonoceras	extinct	100.5	113.2	2052
Engonoceras	extinct	100.5	113.2	2056
Crioceratites	extinct	121.4	132.6	2060
Neolissoceras	extinct	121.4	132.6	2060
Euptychoceras	extinct	121.4	132.6	2060
Plesiospitidiscus	extinct	121.4	132.6	2060
Pseudothurmannia	extinct	121.4	132.6	2060
Phylloceras	extinct	121.4	132.6	2060
Anahamulina	extinct	121.4	132.6	2060
Barremites	extinct	121.4	132.6	2060
Acrioceras	extinct	121.4	132.6	2060
Balearites	extinct	121.4	132.6	2060
Partschiceras	extinct	121.4	132.6	2060
Paraspidoceras	extinct	121.4	132.6	2060
Phylloceras	extinct	121.4	132.6	2061
Balearites	extinct	121.4	132.6	2061
Lytoceras	extinct	121.4	132.6	2061
Crioceratites	extinct	121.4	132.6	2061
Pseudothurmannia	extinct	121.4	132.6	2061
Partschiceras	extinct	121.4	132.6	2061
Haploceras	extinct	121.4	132.6	2061
Acrioceras	extinct	121.4	132.6	2061
Anahamulina	extinct	121.4	132.6	2061
Desmoceras	extinct	121.4	132.6	2061
Hamulinites	extinct	121.4	132.6	2061
Thurmanniceras	extinct	132.6	137.05	2062
Olcostephanus	extinct	132.6	137.05	2062
Spiticeras	extinct	132.6	137.05	2062
Sarasinella	extinct	132.6	137.05	2062
Neocomites	extinct	132.6	137.05	2062
Karakaschiceras	extinct	132.6	137.05	2062
Luppovella	extinct	132.6	137.05	2063
Neocomites	extinct	132.6	137.05	2063
Karakaschiceras	extinct	132.6	137.05	2063
Neohoploceras	extinct	132.6	137.05	2063
Valanginites	extinct	132.6	137.05	2063
Olcostephanus	extinct	132.6	137.05	2063
